Frame,Frame_Start,Frame_User,Frame_End,Frame_End_Debug,Frame_End_Prepare,Frame_End_Render,Frame_End_Render_GetTexture,Frame_End_Render_EncodeCommands,Frame_End_Render_QueueSubmit,Frame_End_Render_Present,
11.943,0.121,0.000,11.660,0.002,0.293,11.221,0.066,0.526,0.404,10.210,
4.816,0.125,0.000,4.528,0.002,0.299,4.133,0.067,0.527,0.375,3.149,
3.907,0.122,0.000,3.622,0.003,0.300,3.222,0.067,0.531,0.456,2.152,
3.923,0.121,0.000,3.639,0.002,0.293,3.245,0.076,0.582,0.382,2.190,
4.014,0.121,0.000,3.730,0.002,0.331,3.297,0.070,0.535,0.387,2.289,
3.876,0.123,0.000,3.591,0.002,0.295,3.201,0.067,0.529,0.376,2.215,
11.767,0.123,0.000,11.482,0.002,0.294,11.085,0.071,0.516,0.366,10.117,
4.878,0.129,0.000,4.584,0.003,0.344,4.113,0.089,0.606,0.415,2.983,
3.941,0.129,0.000,3.648,0.003,0.334,3.203,0.078,0.595,0.412,2.100,
3.912,0.126,0.000,3.624,0.003,0.335,3.185,0.084,0.598,0.420,2.063,
4.035,0.130,0.000,3.744,0.003,0.319,3.325,0.072,0.585,0.401,2.250,
3.762,0.117,0.000,3.481,0.003,0.303,2.983,0.099,0.599,0.411,1.853,
12.093,0.127,0.000,11.642,0.003,0.306,11.198,0.094,0.563,0.375,10.149,
4.860,0.125,0.000,4.575,0.003,0.332,4.151,0.077,0.580,0.449,3.027,
3.886,0.145,0.000,3.577,0.003,0.342,3.139,0.074,0.590,0.416,2.039,
3.947,0.198,0.000,3.584,0.003,0.343,3.143,0.074,0.597,0.429,2.024,
4.134,0.157,0.000,3.815,0.003,0.343,3.308,0.073,0.595,0.422,2.200,
3.759,0.191,0.000,3.403,0.003,0.342,2.969,0.074,0.864,0.413,1.602,
3.905,0.183,0.000,3.552,0.003,0.282,3.176,0.082,0.498,0.353,2.227,
12.047,0.087,0.000,11.811,0.003,0.267,11.465,0.056,0.396,0.284,10.716,
4.915,0.113,0.000,4.639,0.002,0.300,4.158,0.067,0.540,0.436,3.099,
3.907,0.135,0.000,3.610,0.003,0.301,3.210,0.065,0.537,0.395,2.197,
3.970,0.123,0.000,3.686,0.002,0.299,3.279,0.071,0.529,0.398,2.265,
3.896,0.186,0.000,3.547,0.003,0.301,3.145,0.073,0.535,0.392,2.130,
3.928,0.135,0.000,3.630,0.002,0.299,3.221,0.069,0.540,0.436,2.160,
3.935,0.135,0.000,3.638,0.002,0.300,3.226,0.069,0.591,0.398,2.153,
11.922,0.138,0.000,11.622,0.003,0.369,11.152,0.069,0.540,0.383,10.144,
4.868,0.117,0.000,4.588,0.002,0.299,4.184,0.065,0.538,0.384,3.181,
3.936,0.135,0.000,3.601,0.003,0.309,3.185,0.066,0.537,0.389,2.178,
3.955,0.192,0.000,3.599,0.003,0.301,3.196,0.065,0.542,0.387,2.186,
3.905,0.128,0.000,3.613,0.002,0.300,3.210,0.071,0.532,0.389,2.202,
3.910,0.178,0.000,3.570,0.003,0.302,3.163,0.072,0.534,0.423,2.118,
3.935,0.130,0.000,3.641,0.003,0.300,3.232,0.070,0.593,0.386,2.168,
11.800,0.133,0.000,11.505,0.002,0.347,11.057,0.067,0.536,0.390,10.049,
4.769,0.108,0.000,4.496,0.002,0.299,4.109,0.077,0.547,0.381,3.087,
4.142,0.094,0.000,3.890,0.003,0.242,3.566,0.058,0.468,0.327,2.700,
3.847,0.134,0.000,3.550,0.002,0.298,3.146,0.072,0.526,0.365,2.168,
4.111,0.123,0.000,3.826,0.002,0.292,3.434,0.067,0.524,0.367,2.461,
3.905,0.134,0.000,3.609,0.003,0.294,3.212,0.067,0.529,0.376,2.224,
11.896,0.138,0.000,11.596,0.002,0.296,11.197,0.068,0.603,0.370,10.140,
4.817,0.159,0.000,4.495,0.003,0.299,4.119,0.067,0.541,0.387,3.108,
3.911,0.122,0.000,3.625,0.002,0.296,3.221,0.071,0.589,0.399,2.146,
3.900,0.166,0.000,3.571,0.002,0.301,3.145,0.071,0.534,0.381,2.143,
3.907,0.157,0.000,3.589,0.003,0.301,3.179,0.070,0.533,0.382,2.178,
3.957,0.141,0.000,3.653,0.003,0.300,3.255,0.070,0.527,0.383,2.258,
11.883,0.124,0.000,11.598,0.002,0.297,11.189,0.069,0.532,0.393,10.178,
4.813,0.140,0.000,4.510,0.003,0.332,4.079,0.068,0.534,0.381,3.081,
4.088,0.220,0.000,3.702,0.002,0.302,3.304,0.074,0.531,0.379,2.304,
3.904,0.221,0.000,3.520,0.003,0.302,3.114,0.074,0.538,0.458,2.028,
3.906,0.126,0.000,3.619,0.003,0.299,3.207,0.067,0.574,0.391,2.160,
