Frame,Frame_Start,Frame_User,Frame_End,Frame_End_Debug,Frame_End_Prepare,Frame_End_Render,Frame_End_Render_GetTexture,Frame_End_Render_EncodeCommands,Frame_End_Render_QueueSubmit,Frame_End_Render_Present,
3.389,0.123,0.000,3.030,0.004,0.468,2.453,0.107,0.549,0.463,1.318,
3.604,0.125,0.000,3.259,0.004,0.423,2.746,0.052,0.490,0.216,1.973,
3.202,0.163,0.000,2.805,0.004,0.535,2.166,0.068,0.531,0.464,1.086,
2.593,0.142,0.000,2.216,0.004,0.529,1.580,0.068,0.530,0.378,0.586,
10.097,0.146,0.000,9.719,0.004,0.459,9.155,0.065,0.571,0.374,8.127,
3.149,0.133,0.000,2.782,0.004,0.469,2.202,0.067,0.580,0.361,1.177,
2.587,0.133,0.000,2.221,0.004,0.463,1.645,0.066,0.528,0.442,0.592,
2.442,0.134,0.000,2.075,0.004,0.495,1.481,0.066,0.538,0.361,0.499,
2.665,0.098,0.000,2.357,0.004,0.394,1.872,0.049,0.423,0.198,1.189,
11.070,0.134,0.000,10.705,0.004,0.515,10.076,0.071,0.532,0.462,8.994,
2.315,0.137,0.000,1.942,0.004,0.462,1.380,0.070,0.532,0.369,0.392,
2.758,0.097,0.000,2.451,0.004,0.457,1.906,0.050,0.428,0.207,1.208,
2.562,0.133,0.000,2.196,0.004,0.459,1.629,0.070,0.569,0.474,0.497,
2.563,0.131,0.000,2.200,0.004,0.485,1.607,0.067,0.530,0.437,0.555,
2.393,0.132,0.000,2.027,0.004,0.462,1.461,0.064,0.528,0.347,0.504,
10.495,0.097,0.000,10.129,0.004,0.433,9.603,0.051,0.431,0.200,8.908,
3.157,0.135,0.000,2.786,0.004,0.466,2.216,0.074,0.538,0.463,1.123,
2.512,0.136,0.000,2.144,0.005,0.473,1.562,0.065,0.525,0.355,0.598,
2.580,0.132,0.000,2.216,0.004,0.489,1.615,0.065,0.534,0.361,0.637,
2.590,0.134,0.000,2.224,0.005,0.486,1.635,0.071,0.615,0.366,0.565,
2.437,0.218,0.000,1.987,0.004,0.455,1.422,0.073,0.523,0.367,0.442,
2.513,0.101,0.000,2.200,0.004,0.406,1.710,0.048,0.439,0.210,1.001,
10.208,0.091,0.000,9.914,0.004,0.407,9.427,0.044,0.385,0.292,8.695,
3.186,0.134,0.000,2.817,0.004,0.553,2.155,0.072,0.532,0.465,1.068,
2.598,0.133,0.000,2.231,0.004,0.510,1.615,0.066,0.533,0.367,0.631,
2.581,0.130,0.000,2.217,0.005,0.494,1.610,0.066,0.567,0.373,0.586,
2.492,0.227,0.000,1.988,0.004,0.544,1.322,0.079,0.624,0.507,0.092,
2.630,0.122,0.000,2.254,0.005,0.518,1.631,0.058,0.493,0.347,0.718,
10.324,0.154,0.000,9.843,0.005,0.543,9.183,0.075,0.620,0.426,8.044,
2.960,0.207,0.000,2.447,0.005,0.545,1.788,0.080,0.622,0.425,0.642,
2.745,0.118,0.000,2.350,0.005,0.482,1.758,0.057,0.482,0.355,0.847,
2.449,0.229,0.000,1.939,0.005,0.587,1.237,0.076,0.624,0.426,0.091,
2.705,0.113,0.000,2.340,0.005,0.479,1.754,0.061,0.472,0.425,0.781,
2.399,0.170,0.000,1.952,0.005,0.550,1.228,0.076,0.624,0.420,0.088,
2.718,0.118,0.000,2.349,0.004,0.481,1.763,0.058,0.474,0.353,0.861,
10.045,0.170,0.000,9.598,0.005,0.625,8.840,0.076,0.624,0.427,7.693,
3.253,0.210,0.000,2.764,0.004,0.580,2.081,0.076,0.634,0.433,0.918,
2.426,0.177,0.000,1.959,0.006,0.587,1.247,0.078,0.634,0.428,0.088,
2.689,0.118,0.000,2.319,0.005,0.473,1.741,0.052,0.466,0.429,0.779,
2.422,0.173,0.000,1.973,0.004,0.581,1.269,0.078,0.629,0.454,0.089,
2.694,0.113,0.000,2.332,0.005,0.474,1.755,0.055,0.484,0.349,0.852,
10.328,0.154,0.000,9.862,0.005,0.568,9.165,0.074,0.625,0.424,8.023,
3.194,0.210,0.000,2.702,0.004,0.550,2.025,0.074,0.628,0.424,0.878,
2.371,0.190,0.000,1.904,0.004,0.569,1.216,0.074,0.624,0.411,0.088,
2.774,0.113,0.000,2.413,0.005,0.483,1.836,0.056,0.569,0.347,0.850,
2.450,0.163,0.000,2.009,0.004,0.573,1.314,0.073,0.709,0.421,0.091,
2.515,0.116,0.000,2.147,0.005,0.479,1.570,0.057,0.478,0.347,0.673,
2.731,0.156,0.000,2.331,0.005,0.505,1.721,0.051,0.465,0.336,0.854,
2.373,0.156,0.000,1.942,0.005,0.602,1.218,0.074,0.627,0.411,0.089,
10.191,0.114,0.000,9.825,0.005,0.478,9.241,0.055,0.470,0.421,8.279,
3.373,0.122,0.000,3.010,0.004,0.473,2.429,0.072,0.592,0.377,1.368,
2.482,0.196,0.000,2.049,0.004,0.470,1.474,0.066,0.591,0.369,0.430,
2.508,0.146,0.000,2.127,0.004,0.469,1.541,0.072,0.537,0.363,0.550,
2.516,0.256,0.000,2.045,0.004,0.495,1.434,0.092,0.635,0.442,0.244,
2.594,0.161,0.000,2.208,0.005,0.511,1.580,0.081,0.566,0.402,0.511,
2.582,0.136,0.000,2.235,0.004,0.482,1.636,0.083,0.596,0.414,0.524,
2.584,0.130,0.000,2.246,0.005,0.473,1.666,0.077,0.541,0.369,0.658,
10.201,0.130,0.000,9.866,0.004,0.451,9.298,0.072,0.533,0.366,8.308,
3.109,0.159,0.000,2.670,0.005,0.573,1.984,0.079,0.642,0.446,0.796,
6.150,0.143,0.000,5.753,0.006,0.482,5.173,0.059,0.495,0.354,4.251,
2.619,0.153,0.000,2.185,0.005,0.538,1.546,0.073,0.583,0.409,0.463,
2.566,0.125,0.000,2.189,0.006,0.524,1.564,0.062,0.472,0.343,0.669,
2.575,0.107,0.000,2.224,0.005,0.456,1.681,0.050,0.441,0.300,0.877,
6.967,0.108,0.000,6.619,0.004,0.505,6.018,0.056,0.439,0.326,5.182,
2.978,0.420,0.000,2.281,0.004,0.557,1.618,0.080,0.713,0.542,0.262,
2.731,0.117,0.000,2.361,0.004,0.499,1.758,0.058,0.494,0.348,0.842,
2.418,0.155,0.000,1.987,0.006,0.545,1.316,0.077,0.622,0.430,0.167,
2.562,0.111,0.000,2.198,0.005,0.549,1.551,0.058,0.484,0.356,0.638,
2.568,0.108,0.000,2.216,0.005,0.458,1.615,0.052,0.520,0.339,0.692,
2.768,0.093,0.000,2.435,0.004,0.468,1.874,0.051,0.427,0.205,1.179,
10.166,0.155,0.000,9.736,0.005,0.547,9.058,0.079,0.633,0.537,7.789,
3.096,0.158,0.000,2.656,0.006,0.586,1.942,0.076,0.625,0.423,0.798,
2.408,0.153,0.000,1.976,0.005,0.547,1.305,0.076,0.622,0.427,0.162,
2.579,0.114,0.000,2.128,0.005,0.485,1.546,0.057,0.511,0.360,0.603,
2.944,0.107,0.000,2.592,0.005,0.463,2.038,0.081,0.458,0.219,1.266,
2.497,0.153,0.000,2.068,0.005,0.564,1.389,0.078,0.675,0.516,0.101,
2.628,0.111,0.000,2.263,0.005,0.488,1.671,0.053,0.484,0.329,0.790,
11.370,0.152,0.000,10.936,0.005,0.576,10.236,0.074,0.619,0.421,9.103,
3.657,0.152,0.000,3.227,0.005,0.554,2.548,0.078,0.685,0.431,1.334,
2.942,0.153,0.000,2.512,0.004,0.577,1.777,0.081,0.631,0.431,0.614,
2.924,0.150,0.000,2.496,0.005,0.542,1.826,0.073,0.725,0.428,0.581,
2.958,0.153,0.000,2.525,0.004,0.575,1.826,0.073,0.632,0.472,0.629,
2.930,0.150,0.000,2.503,0.006,0.546,1.827,0.076,0.628,0.429,0.673,
2.828,0.151,0.000,2.399,0.005,0.566,1.719,0.079,0.628,0.420,0.572,
2.836,0.110,0.000,2.473,0.004,0.481,1.902,0.052,0.508,0.240,1.088,
11.654,0.106,0.000,11.275,0.004,0.472,10.709,0.048,0.456,0.346,9.846,
3.586,0.174,0.000,3.133,0.004,0.547,2.463,0.082,0.629,0.587,1.145,
2.918,0.156,0.000,2.482,0.005,0.579,1.777,0.076,0.721,0.431,0.528,
2.974,0.158,0.000,2.538,0.004,0.549,1.863,0.077,0.632,0.485,0.648,
2.800,0.152,0.000,2.342,0.005,0.549,1.670,0.077,0.623,0.428,0.522,
2.836,0.120,0.000,2.462,0.005,0.490,1.877,0.056,0.509,0.244,1.052,
3.196,0.104,0.000,2.783,0.005,0.466,2.223,0.050,0.467,0.348,1.344,
11.522,0.153,0.000,11.059,0.004,0.564,10.373,0.079,0.620,0.540,9.114,
3.562,0.161,0.000,3.123,0.004,0.565,2.432,0.077,0.629,0.473,1.233,
2.922,0.156,0.000,2.487,0.004,0.544,1.804,0.076,0.629,0.548,0.531,
2.955,0.152,0.000,2.526,0.005,0.588,1.812,0.076,0.625,0.429,0.661,
2.978,0.155,0.000,2.546,0.004,0.544,1.882,0.075,0.635,0.426,0.728,
2.900,0.117,0.000,2.527,0.004,0.480,1.956,0.055,0.511,0.238,1.138,
3.132,0.104,0.000,2.712,0.005,0.470,2.146,0.053,0.470,0.340,1.268,
11.526,0.152,0.000,11.056,0.004,0.588,10.345,0.080,0.625,0.531,9.089,
3.787,0.168,0.000,3.338,0.005,0.559,2.648,0.084,0.637,0.495,1.410,
2.990,0.108,0.000,2.603,0.006,0.557,1.921,0.080,0.741,0.459,0.621,
3.052,0.160,0.000,2.611,0.006,0.576,1.903,0.080,0.629,0.553,0.619,
2.848,0.169,0.000,2.400,0.004,0.551,1.731,0.078,0.632,0.441,0.559,
3.890,0.129,0.000,3.551,0.005,0.495,2.940,0.079,0.646,0.438,1.757,
3.274,0.113,0.000,2.937,0.005,0.516,2.308,0.081,0.612,0.471,1.123,
2.998,0.128,0.000,2.653,0.004,0.500,2.017,0.081,0.623,0.459,0.834,
3.466,0.170,0.000,3.086,0.004,0.469,2.508,0.074,0.563,0.254,1.597,
3.429,0.133,0.000,3.083,0.004,0.477,2.491,0.077,0.586,0.422,1.384,
3.367,0.129,0.000,3.026,0.004,0.462,2.455,0.077,0.665,0.515,1.179,
3.649,0.134,0.000,3.306,0.004,0.460,2.734,0.074,0.580,0.250,1.811,
3.600,0.128,0.000,3.264,0.004,0.457,2.696,0.075,0.548,0.395,1.660,
11.700,0.128,0.000,11.365,0.004,0.454,10.794,0.075,0.523,0.402,9.774,
3.446,0.207,0.000,3.008,0.004,0.545,2.314,0.109,0.684,0.588,0.910,
2.922,0.143,0.000,2.566,0.004,0.465,1.990,0.077,0.583,0.265,1.045,
3.051,0.129,0.000,2.719,0.005,0.490,2.117,0.076,0.554,0.397,1.072,
2.949,0.156,0.000,2.578,0.004,0.513,1.942,0.087,0.596,0.525,0.714,
2.802,0.162,0.000,2.427,0.004,0.492,1.814,0.186,0.624,0.407,0.576,
2.885,0.173,0.000,2.468,0.004,0.463,1.900,0.070,0.473,0.252,1.092,
11.594,0.100,0.000,11.281,0.005,0.395,10.794,0.047,0.399,0.302,10.033,
3.664,0.192,0.000,3.195,0.004,0.498,2.586,0.069,0.542,0.453,1.504,
2.749,0.419,0.000,2.093,0.005,0.465,1.504,0.089,0.533,0.395,0.469,
3.113,0.109,0.000,2.793,0.005,0.472,2.234,0.045,0.434,0.203,1.540,
2.914,0.128,0.000,2.551,0.004,0.466,1.919,0.071,0.543,0.463,0.825,
2.945,0.134,0.000,2.577,0.004,0.477,1.983,0.071,0.581,0.367,0.945,
2.992,0.133,0.000,2.624,0.004,0.460,2.055,0.071,0.539,0.465,0.963,
11.459,0.137,0.000,11.081,0.004,0.483,10.487,0.068,0.537,0.357,9.508,
3.644,0.153,0.000,3.257,0.004,0.495,2.643,0.071,0.540,0.358,1.655,
2.889,0.177,0.000,2.442,0.004,0.468,1.878,0.065,0.543,0.366,0.886,
2.908,0.188,0.000,2.484,0.004,0.504,1.875,0.066,0.543,0.358,0.892,
3.193,0.132,0.000,2.827,0.004,0.495,2.214,0.068,0.583,0.357,1.187,
2.939,0.193,0.000,2.511,0.004,0.458,1.946,0.066,0.585,0.353,0.924,
11.364,0.139,0.000,10.990,0.004,0.479,10.396,0.065,0.536,0.401,9.374,
3.444,0.208,0.000,2.854,0.005,0.480,2.241,0.098,0.554,0.402,1.168,
2.932,0.140,0.000,2.538,0.004,0.415,2.039,0.052,0.461,0.218,1.296,
3.123,0.107,0.000,2.806,0.004,0.416,2.307,0.044,0.402,0.326,1.523,
2.747,0.145,0.000,2.367,0.004,0.532,1.722,0.078,0.548,0.478,0.600,
3.080,0.135,0.000,2.731,0.004,0.408,2.244,0.046,0.425,0.249,1.511,
3.017,0.156,0.000,2.629,0.005,0.488,2.025,0.081,0.623,0.475,0.829,
11.391,0.155,0.000,11.001,0.004,0.463,10.415,0.067,0.541,0.438,9.350,
3.595,0.155,0.000,3.205,0.004,0.510,2.572,0.071,0.546,0.363,1.573,
2.932,0.150,0.000,2.517,0.004,0.465,1.932,0.076,0.547,0.368,0.923,
2.921,0.130,0.000,2.557,0.004,0.542,1.898,0.072,0.546,0.365,0.896,
2.941,0.132,0.000,2.574,0.004,0.461,1.987,0.081,0.587,0.359,0.940,
2.937,0.183,0.000,2.519,0.004,0.503,1.895,0.070,0.590,0.355,0.862,
2.914,0.197,0.000,2.484,0.004,0.464,1.898,0.078,0.550,0.406,0.846,
2.914,0.134,0.000,2.545,0.004,0.469,1.951,0.080,0.543,0.364,0.944,
11.411,0.135,0.000,11.042,0.004,0.473,10.450,0.079,0.545,0.371,9.436,
3.631,0.252,0.000,3.142,0.005,0.465,2.538,0.074,0.580,0.364,1.502,
2.977,0.134,0.000,2.609,0.004,0.468,2.017,0.127,0.560,0.360,0.953,
2.953,0.135,0.000,2.582,0.004,0.463,1.986,0.079,0.600,0.360,0.929,
2.931,0.136,0.000,2.549,0.004,0.466,1.952,0.078,0.549,0.414,0.894,
2.922,0.136,0.000,2.551,0.004,0.530,1.891,0.067,0.548,0.352,0.904,
2.949,0.185,0.000,2.529,0.004,0.468,1.935,0.075,0.573,0.353,0.916,
11.465,0.140,0.000,11.091,0.004,0.465,10.494,0.072,0.544,0.382,9.478,
3.588,0.204,0.000,3.147,0.004,0.479,2.544,0.084,0.655,0.376,1.407,
3.002,0.139,0.000,2.627,0.004,0.467,2.034,0.080,0.584,0.360,0.990,
2.986,0.136,0.000,2.614,0.004,0.498,1.985,0.069,0.591,0.361,0.947,
2.785,0.138,0.000,2.410,0.004,0.464,1.820,0.070,0.543,0.417,0.771,
2.906,0.132,0.000,2.540,0.004,0.479,1.936,0.079,0.543,0.372,0.924,
2.955,0.137,0.000,2.583,0.005,0.461,2.005,0.080,0.540,0.361,1.005,
11.384,0.135,0.000,11.014,0.004,0.503,10.384,0.077,0.544,0.383,9.362,
3.731,0.123,0.000,3.368,0.004,0.479,2.789,0.071,0.549,0.284,1.866,
2.905,0.139,0.000,2.530,0.004,0.477,1.940,0.071,0.598,0.452,0.801,
2.914,0.137,0.000,2.542,0.004,0.466,1.961,0.069,0.529,0.399,0.946,
2.897,0.133,0.000,2.530,0.004,0.488,1.926,0.069,0.529,0.353,0.957,
2.816,0.135,0.000,2.446,0.004,0.462,1.879,0.071,0.536,0.243,1.011,
3.058,0.099,0.000,2.749,0.004,0.430,2.232,0.048,0.411,0.327,1.432,
