Frame,Frame_Start,Frame_User,Frame_End,Frame_End_Debug,Frame_End_Prepare,Frame_End_Render,Frame_End_Render_GetTexture,Frame_End_Render_EncodeCommands,Frame_End_Render_QueueSubmit,Frame_End_Render_Present,
9.938,0.146,0.000,9.581,0.003,1.355,8.095,0.467,4.777,2.364,0.361,
10.138,0.129,0.000,9.797,0.004,1.335,8.332,0.417,4.680,2.704,0.411,
10.066,0.103,0.000,9.750,0.004,1.391,8.217,0.460,4.802,2.447,0.385,
10.334,0.165,0.000,9.952,0.004,1.340,8.473,0.434,4.670,2.812,0.436,
9.963,0.138,0.000,9.612,0.004,1.412,8.078,0.425,4.697,2.490,0.348,
10.335,0.103,0.000,10.020,0.004,1.329,8.562,0.416,4.755,2.863,0.407,
9.927,0.157,0.000,9.559,0.003,1.367,8.052,0.484,4.793,2.269,0.387,
10.329,0.156,0.000,9.960,0.003,1.353,8.467,0.428,4.861,2.713,0.343,
9.935,0.092,0.000,9.604,0.004,1.334,8.151,0.434,4.861,2.377,0.361,
10.108,0.132,0.000,9.738,0.003,1.310,8.289,0.414,4.741,2.592,0.417,
9.855,0.098,0.000,9.519,0.003,1.326,8.068,0.456,4.781,2.350,0.358,
9.995,0.088,0.000,9.703,0.003,1.314,8.257,0.458,4.623,2.671,0.384,
9.824,0.104,0.000,9.505,0.004,1.317,8.049,0.405,4.730,2.384,0.415,
10.235,0.112,0.000,9.908,0.003,1.325,8.463,0.413,4.806,2.759,0.361,
9.792,0.137,0.000,9.420,0.003,1.313,7.969,0.411,4.742,2.320,0.379,
10.292,0.104,0.000,9.975,0.003,1.378,8.460,0.455,4.770,2.754,0.360,
10.006,0.119,0.000,9.646,0.003,1.340,8.161,0.465,4.802,2.404,0.375,
10.332,0.187,0.000,9.889,0.003,1.349,8.391,0.458,4.887,2.495,0.426,
9.964,0.105,0.000,9.640,0.003,1.329,8.188,0.432,4.882,2.357,0.395,
9.816,0.104,0.000,9.501,0.003,1.288,8.076,0.405,4.672,2.469,0.413,
9.987,0.212,0.000,9.560,0.003,1.323,8.096,0.481,4.808,2.318,0.364,
10.192,0.176,0.000,9.800,0.003,1.322,8.343,0.404,4.675,2.640,0.507,
11.325,0.198,0.000,10.912,0.003,2.609,8.170,0.548,4.792,2.317,0.394,
10.624,0.227,0.000,10.182,0.004,1.309,8.741,0.459,4.824,2.923,0.411,
9.888,0.189,0.000,9.487,0.004,1.329,8.022,0.435,4.739,2.355,0.372,
10.380,0.141,0.000,10.021,0.003,1.360,8.535,0.445,4.852,2.709,0.405,
9.910,0.134,0.000,9.558,0.003,1.344,8.092,0.406,4.777,2.437,0.357,
10.104,0.137,0.000,9.756,0.003,1.338,8.288,0.408,4.724,2.646,0.395,
10.064,0.218,0.000,9.638,0.004,1.428,8.082,0.458,4.755,2.391,0.356,
10.325,0.131,0.000,9.982,0.003,1.350,8.495,0.450,4.773,2.727,0.418,
9.866,0.103,0.000,9.545,0.003,1.425,7.987,0.471,4.695,2.323,0.371,
10.261,0.138,0.000,9.901,0.004,1.371,8.403,0.402,4.739,2.771,0.369,
9.998,0.144,0.000,9.643,0.004,1.310,8.201,0.401,4.934,2.381,0.366,
10.365,0.108,0.000,10.042,0.003,1.347,8.579,0.408,4.990,2.682,0.381,
9.886,0.144,0.000,9.533,0.003,1.388,8.004,0.487,4.789,2.229,0.372,
